trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
64,False,"{'a': 0.985, 'e': 0.380118276842378}",30,3,-61.62157054869378,"{0: 23, 1: 0, 2: 1, 3: 2, 4: 1}",1
65,False,"{'a': 0.985, 'e': 0.3744165026897423}",20,0,-25.425061549481708,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
66,False,"{'a': 0.985, 'e': 0.36880025514939613}",25,0,-10.575697992591492,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
67,False,"{'a': 0.985, 'e': 0.3632682513221552}",30,22,1.4709861117033372,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
68,False,"{'a': 0.985, 'e': 0.35781922755232287}",20,0,-8.68508502833642,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
69,False,"{'a': 0.985, 'e': 0.352451939139038}",25,0,-60.263579423678216,"{0: 21, 1: 0, 2: 1, 3: 2, 4: 1}",0
70,False,"{'a': 0.985, 'e': 0.34716516005195247}",25,15,-6.918958411531693,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
71,False,"{'a': 0.985, 'e': 0.34195768265117316}",25,0,-66.2468731364545,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
72,False,"{'a': 0.985, 'e': 0.33682831741140556}",20,0,3.9690684061706905,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
73,False,"{'a': 0.985, 'e': 0.33177589265023444}",20,8,11.745531581661917,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.985, 'e': 0.32679925426048095}",20,14,11.15097644090388,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.985, 'e': 0.3218972654465737}",20,0,-30.36631960158485,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",1
76,False,"{'a': 0.985, 'e': 0.3170688064648751}",20,6,23.625308421538172,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.985, 'e': 0.312312774367902}",20,6,-9.600637128429199,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
78,False,"{'a': 0.985, 'e': 0.30762808275238346}",25,8,-22.984464910409997,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
79,False,"{'a': 0.985, 'e': 0.3030136615110977}",30,21,4.277792375806968,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
80,False,"{'a': 0.985, 'e': 0.29846845658843124}",20,0,15.828121542839485,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
81,False,"{'a': 0.985, 'e': 0.29399142973960474}",30,7,24.782894539404893,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
82,False,"{'a': 0.985, 'e': 0.2895815582935107}",25,0,-16.112400384515055,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
83,False,"{'a': 0.985, 'e': 0.28523783491910804}",20,16,6.230707290009263,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.985, 'e': 0.2809592673953214}",20,0,-33.06855048521247,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
85,False,"{'a': 0.985, 'e': 0.27674487838439155}",35,20,3.9289327249299864,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
86,False,"{'a': 0.985, 'e': 0.2725937052086257}",30,0,-30.414000148400536,"{0: 24, 1: 1, 2: 4, 3: 1, 4: 0}",0
87,False,"{'a': 0.985, 'e': 0.2685047996304963}",20,0,6.978360700037184,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
88,False,"{'a': 0.985, 'e': 0.26447722763603887}",30,17,-33.977338014833634,"{0: 9, 1: 0, 2: 3, 3: 1, 4: 0}",1
89,False,"{'a': 0.985, 'e': 0.2605100692214983}",20,6,18.523180883280943,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
90,False,"{'a': 0.985, 'e': 0.2566024181831758}",30,11,-9.417380590433575,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
91,False,"{'a': 0.985, 'e': 0.2527533819104281}",20,7,23.025142960466606,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.985, 'e': 0.2489620811817717}",30,11,-1.7997403939164942,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 0}",1
93,False,"{'a': 0.985, 'e': 0.24522764996404514}",20,12,15.04849394338728,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.985, 'e': 0.24154923521458446}",30,15,21.434586952263864,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.985, 'e': 0.2379259966863657}",25,15,17.228186324123996,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.985, 'e': 0.23435710673607021}",25,17,15.995187888303173,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.985, 'e': 0.23084175013502914}",25,14,15.109307366938614,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.985, 'e': 0.22737912388300371}",25,16,15.587015105043893,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.985, 'e': 0.22396843702475863}",20,8,22.858746563984052,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.985, 'e': 0.22060891046938727}",30,15,14.460757941537024,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
101,False,"{'a': 0.985, 'e': 0.21729977681234644}",30,15,9.232616278173055,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
102,False,"{'a': 0.985, 'e': 0.21404028016016124}",20,16,9.62022938685926,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.985, 'e': 0.21082967595775884}",25,15,23.185230851497103,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.985, 'e': 0.20766723081839245}",30,0,8.069528448299529,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
105,False,"{'a': 0.985, 'e': 0.20455222235611656}",25,17,4.01037632581754,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
106,False,"{'a': 0.985, 'e': 0.2014839390207748}",20,0,-4.791943642859222,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
107,False,"{'a': 0.985, 'e': 0.19846167993546318}",20,10,-21.697775034001815,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
108,False,"{'a': 0.985, 'e': 0.19548475473643123}",20,7,9.609657927678365,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
109,False,"{'a': 0.985, 'e': 0.19255248341538475}",20,16,9.196510845286916,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.985, 'e': 0.18966419616415398}",25,0,-1.180671396259121,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
111,False,"{'a': 0.985, 'e': 0.18681923322169167}",30,2,-7.969119921831965,"{0: 24, 1: 1, 2: 3, 3: 0, 4: 0}",1
112,False,"{'a': 0.985, 'e': 0.1840169447233663}",30,9,30.93117632014683,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.985, 'e': 0.1812566905525158}",25,0,-11.40029922279845,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
114,False,"{'a': 0.985, 'e': 0.17853784019422805}",25,14,10.59864414590228,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
115,False,"{'a': 0.985, 'e': 0.17585977259131463}",20,0,18.448493125516997,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
116,False,"{'a': 0.985, 'e': 0.17322187600244493}",25,10,22.481213813697774,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.985, 'e': 0.17062354786240824}",20,0,25.081584264507313,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
118,False,"{'a': 0.985, 'e': 0.16806419464447211}",20,14,12.188267404985318,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.985, 'e': 0.16554323172480503}",20,10,7.073664596689512,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
120,False,"{'a': 0.985, 'e': 0.16306008324893295}",20,0,-3.930351765079504,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
121,False,"{'a': 0.985, 'e': 0.16061418200019895}",20,8,12.086499961228496,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
122,False,"{'a': 0.985, 'e': 0.15820496927019598}",25,15,9.447543468440175,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
123,False,"{'a': 0.985, 'e': 0.15583189473114303}",20,0,21.281481190021623,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
124,False,"{'a': 0.985, 'e': 0.15349441631017588}",20,5,27.31781539490233,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.985, 'e': 0.15119200006552325}",25,0,24.627776765029335,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
126,False,"{'a': 0.985, 'e': 0.1489241200645404}",30,5,25.069098515011103,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",1
127,False,"{'a': 0.985, 'e': 0.1466902582635723}",30,10,27.686595068145465,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
128,False,"{'a': 0.985, 'e': 0.1444899043896187}",30,10,31.154922529326846,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.985, 'e': 0.1423225558237744}",30,3,50.373999594835105,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.985, 'e': 0.14018771748641778}",25,13,-5.461755621936696,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
131,False,"{'a': 0.985, 'e': 0.13808490172412152}",20,14,13.436585652821938,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.985, 'e': 0.1360136281982597}",25,8,14.368610384227816,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
133,False,"{'a': 0.985, 'e': 0.13397342377528582}",25,14,-20.186471858419168,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
